,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
0,STANFORD UNIVERSITY,Yes,2021,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,4.3%,1440-1570,32-35,CA
1,HARVARD COLLEGE,Yes,2021,Harvard has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Harvard does not offer merit-based aid.,42749,4.7%,1460-1580,33-35,
2,PRINCETON UNIVERSITY,Yes,2021,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,5.5%,1440-1570,32-35,NJ
3,COLUMBIA UNIVERSITY,Yes,2021,Columbia has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Columbia does not offer merit-based aid.,40203,5.5%,1450-1560,33-35,
4,YALE UNIVERSITY,Yes,2021,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,6.1%,1460-1570,33-35,CT
5,CALIFORNIA INSTITUTE OF TECHNOLOGY,Yes (TB),2021 2022,CalTech has adopted a two-year Test Blind policy meaning it will not consider standardized test scores beginning with the 2020-21 admissions cycle. It will not consider the optional SAT Essay or ACT Writing Test or SAT Subject Test scores. CalTech does not offer merit-based aid.,8367,6.4%,​​ 1530-1560,35-36,CA
6,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,Yes,2021,MIT has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. MIT will not consider SAT Subject Test scores. MIT does not offer merit-based aid.,21706,6.7%,​​ 1500-1570,34-36,MA
7,BROWN UNIVERSITY,Yes,2021,Brown has adopted a one-year test optional policy for the 2020-21 admission cycle. Brown does not offer merit-based aid.,38674,7.1%,​​ 1440-1570,33-35,RI
8,UNIVERSITY OF CHICAGO,Yes,All / Permanent Policy,UChicago offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,32283,7.3%,​​ 1490-1570,33-35,IL
9,POMONA COLLEGE,Yes,2021,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,7.4%,1390-1540,32-35,CA
10,UNIVERSITY OF PENNSYLVANIA,Yes,2021,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,7.7%,1450-1560,33-35,PA
11,DARTMOUTH COLLEGE,Yes,2021,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,7.9%,1440-1560,32-35,NH
